epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1984.62,1.02046,1.08708,1.24703,0.69855,0.66942,0.68349,0.54203,1.22807,1.34994,1.39466,0.000307,0.000307,0.000307
44,2031.11,1.00079,1.08339,1.23556,0.71131,0.66568,0.69036,0.55279,1.21436,1.34507,1.38176,0.0002905,0.0002905,0.0002905
45,2077.19,1.00484,1.06405,1.24069,0.75669,0.65135,0.70135,0.55132,1.22558,1.32314,1.38722,0.000274,0.000274,0.000274
46,2122.98,0.99252,1.05119,1.23258,0.68829,0.69555,0.69632,0.55475,1.22063,1.31421,1.38359,0.0002575,0.0002575,0.0002575
47,2168.82,0.9918,1.05332,1.23471,0.70052,0.69805,0.69784,0.55502,1.22133,1.31765,1.38389,0.000241,0.000241,0.000241
48,2214.79,0.97024,1.02737,1.21412,0.71907,0.68515,0.70021,0.55401,1.21536,1.30977,1.3755,0.0002245,0.0002245,0.0002245
49,2260.5,0.98434,1.0341,1.22376,0.69743,0.69319,0.69859,0.55787,1.2148,1.31642,1.38631,0.000208,0.000208,0.000208
50,2306.24,0.97292,1.0118,1.21198,0.71729,0.69713,0.70616,0.56029,1.21371,1.29275,1.36815,0.0001915,0.0001915,0.0001915
51,2353.16,0.94549,0.9618,1.20088,0.72873,0.67642,0.69981,0.55423,1.2093,1.29276,1.37281,0.000175,0.000175,0.000175
52,2398.51,0.92333,0.88161,1.17848,0.70658,0.68705,0.70224,0.55489,1.22582,1.29319,1.39682,0.0001585,0.0001585,0.0001585
53,2442.97,0.89774,0.85234,1.15859,0.7257,0.6845,0.70558,0.56332,1.18816,1.27043,1.3752,0.000142,0.000142,0.000142
54,2488.25,0.88779,0.81232,1.14305,0.69966,0.70252,0.69938,0.5583,1.21408,1.29718,1.39285,0.0001255,0.0001255,0.0001255
55,2532.95,0.88033,0.80947,1.14202,0.73207,0.69068,0.70246,0.55807,1.21971,1.28008,1.39877,0.000109,0.000109,0.000109
56,2578.42,0.88084,0.80862,1.1466,0.71778,0.69558,0.70512,0.55986,1.20369,1.26872,1.38545,9.25e-05,9.25e-05,9.25e-05
57,2624.94,0.86487,0.77606,1.12935,0.73328,0.69353,0.70403,0.56289,1.20523,1.27153,1.38968,7.6e-05,7.6e-05,7.6e-05
58,2670.32,0.85507,0.76387,1.12865,0.74101,0.67635,0.70513,0.56619,1.20248,1.28408,1.38825,5.95e-05,5.95e-05,5.95e-05
59,2715.58,0.85145,0.76212,1.12641,0.73681,0.69272,0.70899,0.56538,1.19878,1.2624,1.38257,4.3e-05,4.3e-05,4.3e-05
60,2759.94,0.8494,0.75299,1.12251,0.754,0.68365,0.70568,0.56667,1.18905,1.27151,1.37525,2.65e-05,2.65e-05,2.65e-05
